# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05469e-05 to 8.92137 h/Mpc,
# number of wavenumbers equal to 2527
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       1.671563488162e-03      -9.513987056105e-01      -2.855078809690e+00      -2.855505000167e+00      -7.733329520644e-02      -9.410865721057e-01      -2.839928928144e+00       5.872756522235e-01       5.872119849197e-01      -1.299632051363e-03      -3.231049897329e-07      -9.436278466549e-10      -1.312288855660e-03      -5.645826165216e-06 
       1.679279074661e-03      -9.481385449038e-01      -2.881073939587e+00      -2.881507641559e+00      -7.803576616494e-02      -9.378923938347e-01      -2.865751099646e+00       5.871730467726e-01       5.871150034745e-01      -1.312852267369e-03      -3.266226685102e-07      -9.610189251824e-10      -1.325583008514e-03      -5.703196585285e-06 
       1.687030274688e-03      -9.448027878012e-01      -2.907302563001e+00      -2.907743907188e+00      -7.874452749535e-02      -9.346266162144e-01      -2.891805119960e+00       5.870698687197e-01       5.870173727695e-01      -1.326124049419e-03      -3.301563764264e-07      -9.787293775568e-10      -1.338929287817e-03      -5.760791628552e-06 
       1.694817252629e-03      -9.413926973195e-01      -2.933766735401e+00      -2.934215855653e+00      -7.945963446306e-02      -9.312904910372e-01      -2.918093037865e+00       5.869661181596e-01       5.869190917512e-01      -1.339445686331e-03      -3.337130537316e-07      -9.967650435996e-10      -1.352326407397e-03      -5.818605747580e-06 
       1.702640173628e-03      -9.379095590901e-01      -2.960468517834e+00      -2.960925551333e+00      -8.018114247723e-02      -9.278853343811e-01      -2.944616907984e+00       5.868617927863e-01       5.868201569580e-01      -1.352815914412e-03      -3.372905826552e-07      -1.015131865468e-09      -1.365773070056e-03      -5.876633132062e-06 
       1.710499203589e-03      -9.343546120350e-01      -2.987409987945e+00      -2.987875072147e+00      -8.090910735538e-02      -9.244125259663e-01      -2.971378798854e+00       5.867568895840e-01       5.867205642517e-01      -1.366233507648e-03      -3.408850693808e-07      -1.033835891823e-09      -1.379267970802e-03      -5.934867819366e-06 
       1.718394509184e-03      -9.307293303840e-01      -3.014593251890e+00      -3.015066528262e+00      -8.164358575640e-02      -9.208735041826e-01      -2.998380811000e+00       5.866514084148e-01       5.866203123592e-01      -1.379696998018e-03      -3.444978265869e-07      -1.052883286253e-09      -1.392809796458e-03      -5.993303971595e-06 
       1.726326257854e-03      -9.270352335388e-01      -3.042020434781e+00      -3.042502047364e+00      -8.238463481804e-02      -9.172697702761e-01      -3.025625062741e+00       5.865453490673e-01       5.865193999481e-01      -1.393204911347e-03      -3.481294881828e-07      -1.072280324094e-09      -1.406397228132e-03      -6.051935633871e-06 
       1.734294617812e-03      -9.232736368884e-01      -3.069693669006e+00      -3.070183761589e+00      -8.313231176879e-02      -9.136028901661e-01      -3.053113676953e+00       5.864387087449e-01       5.864178232024e-01      -1.406756123744e-03      -3.517761865086e-07      -1.092033390203e-09      -1.420028942933e-03      -6.110757047316e-06 
       1.742299758049e-03      -9.194464823666e-01      -3.097615102381e+00      -3.098113829246e+00      -8.388667457919e-02      -9.098744916657e-01      -3.080848802127e+00       5.863314860749e-01       5.863155795850e-01      -1.420348615747e-03      -3.554471880076e-07      -1.112148987834e-09      -1.433703615729e-03      -6.169762172132e-06 
       1.750341848334e-03      -9.155551082685e-01      -3.125786923810e+00      -3.126294430881e+00      -8.464778183615e-02      -9.060862663886e-01      -3.108832610687e+00       5.862236807304e-01       5.862126677826e-01      -1.433981781283e-03      -3.591276738563e-07      -1.132633740124e-09      -1.447419921267e-03      -6.228944905204e-06 
       1.758421059222e-03      -9.116014477167e-01      -3.154211313591e+00      -3.154727755833e+00      -8.541569229031e-02      -9.022399696588e-01      -3.137067282330e+00       5.861152902850e-01       5.861090842836e-01      -1.447653810271e-03      -3.628238778396e-07      -1.153494386870e-09      -1.461176535009e-03      -6.288299259754e-06 
       1.766537562052e-03      -9.075872228151e-01      -3.182890482004e+00      -3.183416015834e+00      -8.619046537671e-02      -8.983374208325e-01      -3.165555019851e+00       5.860063132189e-01       5.860048265907e-01      -1.461363018612e-03      -3.665413581867e-07      -1.174737791462e-09      -1.474972136519e-03      -6.347819520135e-06 
