# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.02819e-05 to 5.00333 h/Mpc,
# number of wavenumbers equal to 1940
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       2.123594182045e-05      -6.506287290057e-04      -4.880828154702e-04      -4.880828258661e-04      -6.506267500324e-04      -4.885900741548e-04       6.014614485545e-01       5.995317089524e-01 
       2.135853825048e-05      -6.581608926076e-04      -4.937345298098e-04      -4.937345404479e-04      -6.581588675450e-04      -4.942476569032e-04       6.014614143852e-01       5.995316822709e-01 
       2.148184243743e-05      -6.657802333671e-04      -4.994516873705e-04      -4.994516982566e-04      -6.657781611293e-04      -4.999707507007e-04       6.014613796150e-01       5.995316551223e-01 
       2.160585846721e-05      -6.734877599993e-04      -5.052350461133e-04      -5.052350572529e-04      -6.734856395009e-04      -5.057601142905e-04       6.014613445805e-01       5.995316277549e-01 
       2.173059044935e-05      -6.812844926893e-04      -5.110853726067e-04      -5.110853840058e-04      -6.812823228074e-04      -5.116165150329e-04       6.014613092196e-01       5.995315999990e-01 
       2.185604251708e-05      -6.891714632295e-04      -5.170034421650e-04      -5.170034538297e-04      -6.891692428124e-04      -5.175407290427e-04       6.014612733611e-01       5.995315719901e-01 
       2.198221882750e-05      -6.971497154949e-04      -5.229900391971e-04      -5.229900511334e-04      -6.971474433579e-04      -5.235335415384e-04       6.014612369689e-01       5.995315436897e-01 
       2.210912356171e-05      -7.052203056962e-04      -5.290459574129e-04      -5.290459696273e-04      -7.052179806436e-04      -5.295957470493e-04       6.014612003588e-01       5.995315150851e-01 
       2.223676092494e-05      -7.133843016826e-04      -5.351719992709e-04      -5.351720117698e-04      -7.133819224816e-04      -5.357281488621e-04       6.014611631939e-01       5.995314858850e-01 
       2.236513514672e-05      -7.216427841996e-04      -5.413689769441e-04      -5.413689897342e-04      -7.216403495892e-04      -5.419315599882e-04       6.014611257221e-01       5.995314567453e-01 
       2.249425048096e-05      -7.299968459807e-04      -5.476377116347e-04      -5.476377247227e-04      -7.299943546699e-04      -5.482068024770e-04       6.014610877011e-01       5.995314268985e-01 
       2.262411120617e-05      -7.384475928986e-04      -5.539790344371e-04      -5.539790478300e-04      -7.384450435671e-04      -5.545547082806e-04       6.014610493801e-01       5.995313971394e-01 
       2.275472162552e-05      -7.469961430422e-04      -5.603937856496e-04      -5.603937993544e-04      -7.469935343409e-04      -5.609761185644e-04       6.014610105010e-01       5.995313666204e-01 
       2.288608606705e-05      -7.556436279341e-04      -5.668828156804e-04      -5.668828297044e-04      -7.556409584784e-04      -5.674718846137e-04       6.014609712206e-01       5.995313360711e-01 
       2.301820888378e-05      -7.643911919355e-04      -5.734469846131e-04      -5.734469989638e-04      -7.643884603107e-04      -5.740428673997e-04       6.014609315129e-01       5.995313050485e-01 
       2.315109445385e-05      -7.732399924959e-04      -5.800871623888e-04      -5.800871770737e-04      -7.732371972549e-04      -5.806899377604e-04       6.014608912833e-01       5.995312734970e-01 
       2.328474718069e-05      -7.821912007263e-04      -5.868042292359e-04      -5.868042442628e-04      -7.821883403873e-04      -5.874139768324e-04       6.014608505993e-01       5.995312416981e-01 
