### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  9.17572	7.59696e-06	3.68447e-07	 (32 , 32 , 32) 
  9.18043	7.29819e-06	3.42515e-07	 (32 , 32 , 32) 
  9.18495	7.01091e-06	3.18331e-07	 (32 , 32 , 32) 
  9.18928	6.73471e-06	2.95784e-07	 (32 , 32 , 32) 
  9.19345	6.46919e-06	2.74771e-07	 (32 , 32 , 32) 
  9.19745	6.21394e-06	2.55193e-07	 (32 , 32 , 32) 
  9.20128	5.9686e-06	2.36958e-07	 (32 , 32 , 32) 
  9.20497	5.73279e-06	2.19978e-07	 (32 , 32 , 32) 
  9.20851	5.50615e-06	2.04173e-07	 (32 , 32 , 32) 
   9.2119	5.28834e-06	1.89464e-07	 (32 , 32 , 32) 
  9.21516	5.07904e-06	1.75781e-07	 (32 , 32 , 32) 
  9.21829	4.87791e-06	1.63054e-07	 (32 , 32 , 32) 
  9.22129	4.68464e-06	1.5122e-07	 (32 , 32 , 32) 
  9.22418	4.49895e-06	1.40219e-07	 (32 , 32 , 32) 
  9.22695	4.32054e-06	1.29995e-07	 (32 , 32 , 32) 
   9.2296	4.14913e-06	1.20496e-07	 (32 , 32 , 32) 
  9.23216	3.98445e-06	1.11672e-07	 (32 , 32 , 32) 
   9.2346	3.82625e-06	1.03477e-07	 (32 , 32 , 32) 
  9.23696	3.67427e-06	9.58677e-08	 (32 , 32 , 32) 
  9.23921	3.52829e-06	8.88044e-08	 (32 , 32 , 32) 
  9.24138	3.38805e-06	8.2249e-08	 (32 , 32 , 32) 
  9.24346	3.25335e-06	7.61663e-08	 (32 , 32 , 32) 
  9.24546	3.12397e-06	7.05233e-08	 (32 , 32 , 32) 
  9.24738	2.99969e-06	6.52893e-08	 (32 , 32 , 32) 
  9.24922	2.88033e-06	6.04355e-08	 (32 , 32 , 32) 
  9.25098	2.76569e-06	5.59352e-08	 (32 , 32 , 32) 
  9.25268	2.65559e-06	5.17633e-08	 (32 , 32 , 32) 
  9.25431	2.54984e-06	4.78966e-08	 (32 , 32 , 32) 
  9.25587	2.44829e-06	4.43134e-08	 (32 , 32 , 32) 
  9.25737	2.35076e-06	4.09934e-08	 (32 , 32 , 32) 
  9.25881	2.25709e-06	3.79179e-08	 (32 , 32 , 32) 
   9.2602	2.16715e-06	3.50691e-08	 (32 , 32 , 32) 
  9.26152	2.08077e-06	3.24309e-08	 (32 , 32 , 32) 
   9.2628	1.99782e-06	2.9988e-08	 (32 , 32 , 32) 
  9.26402	1.91816e-06	2.77263e-08	 (32 , 32 , 32) 
   9.2652	1.84167e-06	2.56326e-08	 (32 , 32 , 32) 
  9.26632	1.76822e-06	2.36947e-08	 (32 , 32 , 32) 
  9.26741	1.69769e-06	2.19013e-08	 (32 , 32 , 32) 
  9.26845	1.62997e-06	2.02418e-08	 (32 , 32 , 32) 
  9.26944	1.56493e-06	1.87064e-08	 (32 , 32 , 32) 
   9.2704	1.50249e-06	1.7286e-08	 (32 , 32 , 32) 
  9.27132	1.44253e-06	1.59721e-08	 (32 , 32 , 32) 
   9.2722	1.38495e-06	1.47569e-08	 (32 , 32 , 32) 
  9.27305	1.32967e-06	1.3633e-08	 (32 , 32 , 32) 
  9.27387	1.27659e-06	1.25938e-08	 (32 , 32 , 32) 
  9.27465	1.22563e-06	1.1633e-08	 (32 , 32 , 32) 
   9.2754	1.17669e-06	1.07447e-08	 (32 , 32 , 32) 
  9.27612	1.12971e-06	9.92353e-09	 (32 , 32 , 32) 
  9.27681	1.0846e-06	9.1645e-09	 (32 , 32 , 32) 
  9.27747	1.04128e-06	8.46298e-09	 (32 , 32 , 32) 
